team_1,score_1,team_2,score_2
japan,1,south_korea,4
russia,1,france,3
nigeria,0,serbia,2
south_korea,1,serbia,1
england,0,germany,0
tunisia,1,iran,0
croatia,0,brazil,2
morocco,4,nigeria,0
belgium,4,saudi_arabia,0
argentina,2,nigeria,4
colombia,0,egypt,0
england,0,brazil,0
peru,2,croatia,0
japan,1,brazil,3
denmark,1,panama,0
belgium,3,egypt,0
south_korea,2,colombia,1
poland,0,mexico,1
poland,0,nigeria,1
serbia,1,morocco,2
england,2,costa_rica,0
russia,3,spain,3
russia,0,argentina,1
poland,0,uruguay,0
belgium,0,portugal,0
russia,0,brazil,3
germany,0,brazil,1
switzerland,6,panama,0
germany,2,france,2
spain,6,argentina,1
france,2,colombia,3
tunisia,1,costa_rica,0
portugal,2,egypt,1
germany,1,spain,1
poland,3,south_korea,2
sweden,0,denmark,0
spain,5,costa_rica,0
peru,3,iceland,1
portugal,2,tunisia,2
spain,1,switzerland,1
belgium,3,mexico,3
belgium,1,japan,0
mexico,0,croatia,1
iceland,0,mexico,3
saudi_arabia,0,peru,3
england,2,nigeria,1
