group,team_1,score_1,team_2,score_2
A,mexico,,south_africa,
A,south_korea,,czech_republic,
A,czech_republic,,south_africa,
A,mexico,,south_korea,
A,czech_republic,,mexico,
A,south_africa,,south_korea,
B,canada,,bosnia_and_herzegovina,
B,qatar,,switzerland,
B,switzerland,,bosnia_and_herzegovina,
B,canada,,qatar,
B,switzerland,,canada,
B,bosnia_and_herzegovina,,qatar,
C,brazil,,morocco,
C,haiti,,scotland,
C,scotland,,morocco,
C,brazil,,haiti,
C,scotland,,brazil,
C,morocco,,haiti,
D,united_states,,paraguay,
D,australia,,turkey,
D,united_states,,australia,
D,turkey,,paraguay,
D,turkey,,united_states,
D,paraguay,,australia,
E,germany,,curacao,
E,ivory_coast,,ecuador,
E,germany,,ivory_coast,
E,ecuador,,curacao,
E,curacao,,ivory_coast,
E,ecuador,,germany,
F,netherlands,,japan,
F,sweden,,tunisia,
F,netherlands,,sweden,
F,tunisia,,japan,
F,japan,,sweden,
F,tunisia,,netherlands,
G,belgium,,egypt,
G,iran,,new_zealand,
G,belgium,,iran,
G,new_zealand,,egypt,
G,egypt,,iran,
G,new_zealand,,belgium,
H,spain,,cape_verde,
H,saudi_arabia,,uruguay,
H,spain,,saudi_arabia,
H,uruguay,,cape_verde,
H,cape_verde,,saudi_arabia,
H,uruguay,,spain,
I,france,,senegal,
I,iraq,,norway,
I,france,,iraq,
I,norway,,senegal,
I,norway,,france,
I,senegal,,iraq,
J,argentina,,algeria,
J,austria,,jordan,
J,argentina,,austria,
J,jordan,,algeria,
J,algeria,,austria,
J,jordan,,argentina,
K,portugal,,dr_congo,
K,uzbekistan,,colombia,
K,portugal,,uzbekistan,
K,colombia,,dr_congo,
K,colombia,,portugal,
K,dr_congo,,uzbekistan,
L,england,,croatia,
L,ghana,,panama,
L,england,,ghana,
L,panama,,croatia,
L,panama,,england,
L,croatia,,ghana,
